titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
Introduction to the Internet of Things (IoT),89421.0,Self-paced on your time,Curtin University,Introductory,Computer Science,English,6,149.0
'Talk to me': Improving mental health and suicide prevention in young adults,11481.0,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,6,139.0
Disaster Medicine Training,10937.0,Self-paced on your time,Stanford University,Introductory,Medicine,English,8,50.0
Nutrition and Health: Human Microbiome,44079.0,Self-paced on your time,Wageningen University & Research,Introductory,Health & Safety,English,6,49.0
Customer Relationship Management,53085.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,6,50.0
Islam Through Its Scriptures,65430.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,99.0
Mechatronics Revolution: Fundamentals and Core Concepts,11619.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Engineering,English,16,149.0
Accounting for Decision-Making,57710.0,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,7,150.0
C Programming: Language Foundations,46400.0,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7,49.0
Big Data sin misterios,65564.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Data Analysis & Statistics,Español,10,25.0
Becoming a Successful Leader (Inclusive Leadership Training),215705.0,Self-paced on your time,Catalyst,Introductory,Communication,English,4,49.0
"English for Journalists, Part 1",50847.0,Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,5,139.0
Introduction to Networking,16134.0,Self-paced on your time,New York University,Introductory,Computer Science,English,7,150.0
Accounting Essentials,58463.0,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6,79.0
Introduction to Java Programming: Starting to code in Java,325554.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,English,5,149.0
